anime_id,name,genre,type,episodes,rating,members
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
2,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
3,Trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,283069
4,Witch Hunter Robin,"Action, Drama, Magic, Mystery, Police, Supernatural",TV,26,7.36,64905
5,Beet the Vandel Buster,"Adventure, Fantasy, Shounen, Supernatural",TV,52,7.06,9848
6,Eyeshield 21,"Action, Comedy, Shounen, Sports",TV,145,8.08,83648
7,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance",TV,24,8.18,130646
8,Hungry Heart: Wild Striker,"Comedy, Shounen, Slice of Life, Sports",TV,52,7.74,13469
9,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584
10,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
11,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220,7.81,683297
12,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,1,8.58,504862
13,Prince of Tennis,"Action, Comedy, School, Shounen, Sports",TV,178,8.04,87643
14,Ring ni Kakero 1,"Action, Shounen, Sports",TV,12,6.7,2224
15,School Rumble,"Comedy, Romance, School, Shounen",TV,26,8.06,178553
16,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,7.55,65516
17,Texhnolyze,"Action, Drama, Psychological, Sci-Fi",TV,22,7.78,95859
18,Trinity Blood,"Action, Supernatural, Vampire",TV,24,7.44,113791
19,Yakitate!! Japan,"Comedy, Shounen",TV,69,8.05,50876
20,Zipang,"Action, Drama, Historical, Military, Sci-Fi, Seinen",TV,26,7.56,8630
21,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
22,Neon Genesis Evangelion: Death &amp; Rebirth,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,7.51,102093
23,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
24,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430
25,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
26,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307
27,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928
28,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Drama, Historical, Samurai, Shounen",Movie,1,7.65,33191
29,Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,1,8.15,215897
30,.hack//Sign,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",TV,26,7.14,110304
31,Aa! Megami-sama!,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,7.41,34590
32,Aa! Megami-sama! (TV),"Comedy, Magic, Romance, Seinen, Supernatural",TV,24,7.45,96694
33,Tenshi Kinryouku,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,6.46,36352
34,Kidou Tenshi Angelic Layer,"Comedy, Drama, Sci-Fi, Shounen, Sports",TV,26,7.32,39758
35,Ai Yori Aoshi,"Comedy, Drama, Harem, Romance, Slice of Life",TV,24,7.24,66597
36,Appleseed (Movie),"Action, Drama, Mecha, Military, Police, Sci-Fi, Shounen",Movie,1,7.21,49553
37,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,6.62,10392
38,Avenger,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,6.02,12286
39,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328
40,Blue Gender,"Adventure, Drama, Horror, Mecha, Military, Romance, Sci-Fi, Space",TV,26,7.13,40581
41,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",TV,26,7.57,266846
42,Chrno Crusade,"Action, Demons, Historical, Romance, Supernatural",TV,24,7.8,140865
43,D.N.Angel,"Action, Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,26,7.35,126914
44,D.C.: Da Capo,"Drama, Harem, Magic, Romance",TV,26,6.93,49909
45,DearS,"Comedy, Ecchi, Harem, Romance, Sci-Fi",TV,12,6.8,91037
46,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen",TV,12,7.57,128688
47,Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen",TV,12,7.78,72645
48,Azumanga Daioh,"Comedy, School, Slice of Life",TV,26,8.06,170901
49,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Fantasy, Historical, Romance, Samurai, Supernatural",TV,24,7.68,98144
50,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",TV,23,7.52,150512
51,Cluster Edge,"Action, Fantasy, Military, Sci-Fi",TV,25,6.48,6995
52,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",TV,24,7.81,256325
53,Full Metal Panic? Fumoffu,"Action, Comedy, School",TV,12,8.21,171086
54,Full Metal Panic! The Second Raid,"Action, Mecha, Military",TV,13,8.06,155340
55,Gakuen Alice,"Comedy, Magic, School, Shoujo",TV,26,7.8,52995
56,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,7.38,27516
